number,value,datetime_start,datetime_complete,duration,params_FISH_binarization_threshold,params_FISH_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
0,0.0,2025-03-19 12:41:48.842119,2025-03-19 12:41:48.917734,0 days 00:00:00.075615,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,,,,,,,,,,,,,,COMPLETE
1,-0.0131850982788533,2025-03-19 12:41:48.925435,2025-03-19 12:41:51.254510,0 days 00:00:02.329075,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,1.0,0.05,20.0,19.0,,,,-0.263701965577066,"[[ 3.74008606e-03 -6.00852374e-03  3.96512404e+02]
 [ 6.00852374e-03  3.74008606e-03  4.56450706e+01]]",1.0,,0.9999999999999999,20.0,COMPLETE
2,0.0,2025-03-19 12:41:51.259212,2025-03-19 12:41:52.855528,0 days 00:00:01.596316,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,,,,,,,,,,,,,,COMPLETE
3,0.0,2025-03-19 12:41:52.860411,2025-03-19 12:41:52.920259,0 days 00:00:00.059848,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,,,,,,,,,,,,,,COMPLETE
4,0.0,2025-03-19 12:41:52.924294,2025-03-19 12:41:52.972585,0 days 00:00:00.048291,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,,,,,,,,,,,,,,COMPLETE
5,0.0,2025-03-19 12:41:52.976600,2025-03-19 12:41:53.031116,0 days 00:00:00.054516,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,,,,,,,,,,,,,,COMPLETE
6,0.0,2025-03-19 12:41:53.035087,2025-03-19 12:41:53.973862,0 days 00:00:00.938775,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,,,,,,,,,,,,,,COMPLETE
7,0.0,2025-03-19 12:41:53.978250,2025-03-19 12:42:02.779500,0 days 00:00:08.801250,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,,,,,,,,,,,,,,COMPLETE
8,0.0,2025-03-19 12:42:02.783952,2025-03-19 12:42:02.858640,0 days 00:00:00.074688,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,,,,,,,,,,,,,,COMPLETE
9,0.0,2025-03-19 12:42:02.862820,2025-03-19 12:42:03.537526,0 days 00:00:00.674706,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,,,,,,,,,,,,,,COMPLETE
10,0.0,2025-03-19 12:42:03.548272,2025-03-19 12:42:03.642879,0 days 00:00:00.094607,0.9451365442303868,3.4215303407399382,55.747924529170206,True,0.6074415617554519,3.000078093465156,0.13037331015563566,0.007745039992236566,,,,,,,,,,,,,,COMPLETE
11,0.0,2025-03-19 12:42:03.647963,2025-03-19 12:42:35.064279,0 days 00:00:31.416316,0.2869127750412098,4.908406065334224,44.55497124829995,True,0.6587212564652211,0.1141668169955451,0.06856996328152043,0.052398399248387184,1.0,1.0,1.0,0.0,,,,,"[[-5.32359731e-05  1.29607930e-03  6.22924952e+02]
 [-1.29607930e-03 -5.32359731e-05  5.19686531e+02]]",1.0,,,1.0,COMPLETE
12,0.0,2025-03-19 12:42:35.070712,2025-03-19 12:42:36.176645,0 days 00:00:01.105933,0.1198019643955821,2.416135428262699,39.371826202332116,True,0.4687052188878421,1.7569305977456322,0.06119531437537168,0.10555577860600641,,,,,,,,,,,,,,COMPLETE
13,-0.000504946786262242,2025-03-19 12:42:36.182112,2025-03-19 12:42:38.083377,0 days 00:00:01.901265,0.4658246377505848,2.371413413327704,59.671346111336184,True,0.7309113023034158,3.369496923066832,0.10284458463463776,0.13217114505845734,2635.0,0.019836042126182823,132839.0,130204.0,,,-0.01074362967235455,-0.025456025100679302,"[[  -42.49968382    21.24978217 -6229.3630915 ]
 [  -21.24978217   -42.49968382 20921.60511267]]",105740.0,1.0000000000000036,0.9999999999976945,29734.0,COMPLETE
14,0.0,2025-03-19 12:42:38.089855,2025-03-19 12:42:39.695304,0 days 00:00:01.605449,0.8147837190048975,1.0268990876560822,30.919704963183015,True,0.5426431724095517,0.01817212857529449,0.044285832303961686,0.038872972439842626,,,,,,,,,,,,,,COMPLETE
15,0.0,2025-03-19 12:42:39.700826,2025-03-19 12:42:40.333615,0 days 00:00:00.632789,0.19235987858839554,3.758067124078944,64.3679979253943,True,0.7866278717699982,1.9623126588196862,0.09217814282201403,0.09350953963480152,,,,,,,,,,,,,,COMPLETE
16,0.0,2025-03-19 12:42:40.629411,2025-03-19 12:42:41.960336,0 days 00:00:01.330925,0.4155265090403054,2.9574612176697648,97.9631335855017,True,0.8318440870908552,0.872649883329289,0.04200537706023182,0.030499298925897707,,,,,,,,,,,,,,COMPLETE
17,0.0,2025-03-19 12:42:41.967549,2025-03-19 12:42:44.683562,0 days 00:00:02.716013,0.22776566197732984,2.1773432516589457,3.0980545588194435,True,0.4509161036291376,3.3980105554206936,0.0004953082579807616,0.15967227481387233,,,,,,,,,,,,,,COMPLETE
18,0.0,2025-03-19 12:42:44.688972,2025-03-19 12:42:44.783042,0 days 00:00:00.094070,0.5252808868777312,1.0679250299463925,29.223345931469392,True,0.999436931418535,4.955492967071801,0.12856948611811106,0.06406794705158333,,,,,,,,,,,,,,COMPLETE
19,0.0,2025-03-19 12:42:44.787793,2025-03-19 12:42:44.883351,0 days 00:00:00.095558,0.7733723864700414,3.9793388094678646,46.53863467857734,True,0.6528846693058872,1.9708805512418854,0.07986759225306833,0.10029140308447335,,,,,,,,,,,,,,COMPLETE
20,0.0,2025-03-19 12:42:44.893442,2025-03-19 12:42:46.658156,0 days 00:00:01.764714,0.39929464831880623,1.9969425070623295,8.945186667891203,True,0.7157902363416819,1.4515583121981062,0.17168264248222442,0.12383619884579472,,,,,,,,,,,,,,COMPLETE
21,0.0,2025-03-19 12:42:46.665546,2025-03-19 12:42:46.751323,0 days 00:00:00.085777,0.5104751248234958,3.1167031262810374,18.386363257406966,False,0.9991184104579378,3.7178873787794435,0.029452271933359225,0.19302375577258746,,,,,,,,,,,,,,COMPLETE
22,0.0001347327016625053,2025-03-19 12:42:46.756910,2025-03-19 12:42:48.587663,0 days 00:00:01.830753,0.5149943178491099,2.8616441658727374,24.899718941033363,False,0.8409742783392349,2.8376106980903373,0.004442449314500604,0.1754048206115142,7247.0,0.011965953090557844,605635.0,598388.0,,,0.06534900245118756,0.011259671556695376,"[[    122.6915485      241.53800539 -116891.78136656]
 [   -241.53800539     122.6915485   -39194.587036  ]]",603182.0,0.9999999999999971,0.9999999999999937,9700.0,COMPLETE
23,0.0,2025-03-19 12:42:48.593620,2025-03-19 12:42:49.024110,0 days 00:00:00.430490,0.5731498188508367,4.500345854295312,29.405193279101546,False,0.8462171714591585,2.6908030973711434,0.044941640325914876,0.14261114643579068,,,,,,,,,,,,,,COMPLETE
24,0.0,2025-03-19 12:42:49.037161,2025-03-19 12:42:49.525069,0 days 00:00:00.487908,0.42254023671701524,0.9867387360524568,37.37113952384839,False,0.8244494466106841,3.147900561417578,0.026433655431405037,0.16198888972594105,,,,,,,,,,,,,,COMPLETE
25,0.006419574802573599,2025-03-19 12:42:49.632501,2025-03-19 12:43:39.423999,0 days 00:00:49.791498,0.31292439214628,3.379360221285851,26.71496453885908,False,0.5496565423371966,0.6011144732364286,0.002878784058655312,0.1749199422956363,79818.0,0.2094757202056493,381037.0,301219.0,,,0.025162429920383842,0.030645913503824156,"[[-8.10727033e-02  1.18345335e+00  7.98171762e+01]
 [-1.18345335e+00 -8.10727033e-02  9.35883020e+02]]",142295.0,0.9999999999999934,0.99999999999889,318560.0,COMPLETE
26,0.0,2025-03-19 12:43:39.446514,2025-03-19 12:43:40.595238,0 days 00:00:01.148724,0.1613557445673995,3.5011914857550694,22.300522500017514,False,0.371817204415703,2.192056081550496,0.002091912350936873,0.17812933833215763,,,,,,,,,,,,,,COMPLETE
