number,value,datetime_start,datetime_complete,duration,params_FISH_binarization_threshold,params_FISH_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
0,0.0,2025-03-19 12:08:37.908941,2025-03-19 12:08:40.318922,0 days 00:00:02.409981,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,,,,,,,,,,,,,,COMPLETE
1,0.09153528495384727,2025-03-19 12:08:40.342565,2025-03-19 12:08:54.229881,0 days 00:00:13.887316,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,19235.0,0.17989076557619288,106926.0,87691.0,,,0.29010136820110555,0.508838153312975,"[[ 1.21803685e+00  1.12986920e-02  2.27153755e+01]
 [-1.12986920e-02  1.21803685e+00 -1.05339839e+02]]",101242.0,1.0000000000000027,1.0000000000027336,24919.0,COMPLETE
2,0.0,2025-03-19 12:08:54.243567,2025-03-19 12:08:59.368695,0 days 00:00:05.125128,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,,,,,,,,,,,,,,COMPLETE
3,0.0,2025-03-19 12:08:59.373036,2025-03-19 12:08:59.467161,0 days 00:00:00.094125,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,,,,,,,,,,,,,,COMPLETE
4,0.0,2025-03-19 12:08:59.471265,2025-03-19 12:08:59.547985,0 days 00:00:00.076720,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,,,,,,,,,,,,,,COMPLETE
5,0.0,2025-03-19 12:08:59.555169,2025-03-19 12:08:59.664273,0 days 00:00:00.109104,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,,,,,,,,,,,,,,COMPLETE
6,0.0,2025-03-19 12:08:59.668656,2025-03-19 12:09:02.384588,0 days 00:00:02.715932,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,,,,,,,,,,,,,,COMPLETE
7,0.0,2025-03-19 12:09:02.390789,2025-03-19 12:09:26.026754,0 days 00:00:23.635965,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,,,,,,,,,,,,,,COMPLETE
8,0.0,2025-03-19 12:09:26.035097,2025-03-19 12:09:27.274017,0 days 00:00:01.238920,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,,,,,,,,,,,,,,COMPLETE
9,-0.0001926103439123758,2025-03-19 12:09:27.323185,2025-03-19 12:09:29.507509,0 days 00:00:02.184324,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,239.0,0.002885358315626811,82832.0,82593.0,,,0.08350155801900988,-0.06675439333451846,"[[   109.78803176    -84.75898686 -15072.40077609]
 [    84.75898686    109.78803176 -25893.90432635]]",57713.0,1.0000000000000002,0.9999999999999708,25358.0,COMPLETE
10,0.0,2025-03-19 12:09:29.513048,2025-03-19 12:09:31.277434,0 days 00:00:01.764386,0.9679380298865652,0.029985914779086187,55.747924529170206,True,0.5167229806570612,2.4322115633745964,0.13037331015563566,0.04394194573392496,0.0,0.0,38.0,38.0,,,,0.10597048418372947,"[[-1.55295105e-02  1.74652481e-03  1.30405642e+02]
 [-1.74652481e-03 -1.55295105e-02  8.36655480e+01]]",0.0,,1.0000000000000002,38.0,COMPLETE
11,0.0,2025-03-19 12:09:31.282657,2025-03-19 12:09:32.465191,0 days 00:00:01.182534,0.8350172613136945,3.2185636831191173,44.55497124829995,True,0.48000710852428313,3.136976962079712,0.046686760198222155,0.007648554493254051,,,,,,,,,,,,,,COMPLETE
12,0.0,2025-03-19 12:09:32.470539,2025-03-19 12:09:33.673550,0 days 00:00:01.203011,0.1600538479915523,4.927134037248766,1.78238867727978,True,0.48462207729647067,3.1247140155721116,0.04301158507665073,0.041693798666066,,,,,,,,,,,,,,COMPLETE
13,0.0,2025-03-19 12:09:33.678487,2025-03-19 12:09:35.108870,0 days 00:00:01.430383,0.774685953117196,3.7661219701323603,99.6056366429961,True,0.2867597682489311,1.8300864265274646,0.09805980853532205,0.03903940445369082,,,,,,,,,,,,,,COMPLETE
14,-0.0,2025-03-19 12:09:35.114005,2025-03-19 12:09:42.883244,0 days 00:00:07.769239,0.2246732564682088,2.5436731784469178,35.2240380898827,True,0.6206527929620784,0.12709123838403347,0.044285832303961686,0.0027721013247044637,0.0,0.0,3.0,3.0,,,,-0.9256155640792455,"[[ 1.07163780e-03  1.58259818e-03  4.26990809e+01]
 [-1.58259818e-03  1.07163780e-03  2.25981103e+01]]",0.0,,1.0,3.0,COMPLETE
15,0.0,2025-03-19 12:09:42.891193,2025-03-19 12:09:46.422541,0 days 00:00:03.531348,0.7777116035069411,0.7445546558007126,56.562153410584685,True,0.26146940107354244,2.9412732326035553,0.07102748374759939,0.03143728553437535,,,,,,,,,,,,,,COMPLETE
16,0.0,2025-03-19 12:09:46.427779,2025-03-19 12:09:48.148389,0 days 00:00:01.720610,0.455274916565822,2.24274028445038,23.919705601319077,True,0.00474011965308907,3.660619265457637,0.000983668462663137,0.11650217644880664,,,,,,,,,,,,,,COMPLETE
17,0.0,2025-03-19 12:09:48.154939,2025-03-19 12:09:48.276575,0 days 00:00:00.121636,0.9736214479983092,3.9951934417331,49.02823160905113,True,0.6562363763846079,1.8573079560868895,0.036011055688469774,0.061244034691285996,,,,,,,,,,,,,,COMPLETE
