number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
0,0.0,2025-04-02 16:13:04.549021,2025-04-02 16:13:08.198074,0 days 00:00:03.649053,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
1,0.0,2025-04-02 16:13:08.214941,2025-04-02 16:13:08.681535,0 days 00:00:00.466594,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
2,0.0,2025-04-02 16:13:08.690264,2025-04-02 16:13:09.420890,0 days 00:00:00.730626,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
3,0.0,2025-04-02 16:13:09.431388,2025-04-02 16:13:09.887092,0 days 00:00:00.455704,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
4,0.0,2025-04-02 16:13:09.895042,2025-04-02 16:13:10.316323,0 days 00:00:00.421281,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
5,0.0,2025-04-02 16:13:10.324399,2025-04-02 16:13:10.753312,0 days 00:00:00.428913,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
6,0.0,2025-04-02 16:13:10.762351,2025-04-02 16:13:11.238380,0 days 00:00:00.476029,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
7,0.0,2025-04-02 16:13:11.247683,2025-04-02 16:13:12.391555,0 days 00:00:01.143872,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
8,0.0032802987178521493,2025-04-02 16:13:12.403620,2025-04-02 16:13:18.243485,0 days 00:00:05.839865,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,True,100000,0.9,IF,-0.8757719993591309,-0.05926858261227608,3.0,0.21428571428571427,14.0,11.0,,,0.00971766747534275,0.015308060683310032,"[[ 3.67530514e-03  1.77416919e-03  4.28736298e+02]
 [-1.77416919e-03  3.67530514e-03  2.91762944e+02]]",3.0,0.8341279625892639,0.3206288814544678,14.0,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
9,0.0,2025-04-02 16:13:18.254376,2025-04-02 16:13:18.692430,0 days 00:00:00.438054,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,cell-line-0028-bd18455
