number,values_0,values_1,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
0,0.0,0.0,2025-04-02 16:13:04.549374,2025-04-02 16:13:08.198122,0 days 00:00:03.648748,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
1,0.0,0.0,2025-04-02 16:13:08.213951,2025-04-02 16:13:08.678531,0 days 00:00:00.464580,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
2,0.0,0.0,2025-04-02 16:13:08.687876,2025-04-02 16:13:09.415003,0 days 00:00:00.727127,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
3,0.0,0.0,2025-04-02 16:13:09.426582,2025-04-02 16:13:09.881037,0 days 00:00:00.454455,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
4,0.0,0.0,2025-04-02 16:13:09.890036,2025-04-02 16:13:10.310460,0 days 00:00:00.420424,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
5,0.0,0.0,2025-04-02 16:13:10.319697,2025-04-02 16:13:10.744922,0 days 00:00:00.425225,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
6,0.0,0.0,2025-04-02 16:13:10.754982,2025-04-02 16:13:11.222613,0 days 00:00:00.467631,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
7,0.0,0.0,2025-04-02 16:13:11.230019,2025-04-02 16:13:12.375752,0 days 00:00:01.145733,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
8,0.015308060683310032,0.21428571428571427,2025-04-02 16:13:12.385799,2025-04-02 16:13:18.238029,0 days 00:00:05.852230,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,True,100000,0.9,IF,-0.8757719993591309,-0.05926858261227608,3.0,0.21428571428571427,14.0,11.0,,,0.00971766747534275,0.015308060683310032,"[[ 3.67530514e-03  1.77416919e-03  4.28736298e+02]
 [-1.77416919e-03  3.67530514e-03  2.91762944e+02]]",3.0,0.8341279625892639,0.3206288814544678,14.0,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
9,0.0,0.0,2025-04-02 16:13:18.254099,2025-04-02 16:13:18.689398,0 days 00:00:00.435299,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
10,0.0,0.0,2025-04-02 16:13:18.699266,2025-04-02 16:13:19.089791,0 days 00:00:00.390525,0.020559856083561614,3.5306682597786487,94.44523374489243,False,0.015438396317877814,4.880392866566493,0.14303392243935906,0.060112964609869195,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
11,0.0,0.0,2025-04-02 16:13:19.097377,2025-04-02 16:13:19.406588,0 days 00:00:00.309211,0.9469618763901492,4.961813327301687,64.44307745092479,False,0.03138912302077081,3.3671660168803483,0.003145544285875634,0.11468219182763775,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
12,0.0,0.0,2025-04-02 16:13:19.415247,2025-04-02 16:13:21.022441,0 days 00:00:01.607194,0.008417147791001386,3.8381299885039555,55.65059776747638,False,0.4687052188878421,3.263406001124904,0.04811507529846445,0.042895802569412673,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
13,0.8662506549616514,0.72146159120568,2025-04-02 16:13:21.030988,2025-04-02 16:13:24.386740,0 days 00:00:03.355752,0.16563863802027678,3.9639949546863926,78.39334931291143,False,0.19367165757548072,3.5449180104100266,0.03750652628667344,0.0012982190305367014,True,100000,0.9,IF,0.2846742570400238,0.7727149801918793,32618.0,0.72146159120568,45211.0,12593.0,,,0.5479280352592468,0.8662506549616514,"[[ 9.93332575e-01  4.03207115e-03 -4.67016605e+01]
 [-4.03207115e-03  9.93332575e-01 -3.74271766e+01]]",42697.0,0.5479312539100647,0.8657339178473312,35132.0,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
14,0.0,0.0,2025-04-02 16:13:24.395231,2025-04-02 16:13:29.057455,0 days 00:00:04.662224,0.1757499496101922,2.4807919938974123,77.51082867815654,False,0.18525973938408424,0.028399812670257152,0.09973258811390082,0.004530803532897851,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
15,0.8329210704576215,0.6252270715915972,2025-04-02 16:13:29.069676,2025-04-02 16:13:32.341572,0 days 00:00:03.271896,0.19235987858839554,3.8366737192280134,98.81576722093196,False,0.5420685876567608,1.7235420998639435,0.14098541652030214,0.041992188781385456,True,100000,0.9,IF,0.27806320786476135,0.7482929554080004,26846.0,0.6252270715915972,42938.0,16092.0,,,0.470159649848938,0.8329210704576215,"[[ 1.00038900e+00  3.91357803e-03 -5.12682572e+01]
 [-3.91357803e-03  1.00038900e+00 -3.89604933e+01]]",40266.0,0.47015950083732605,0.8323737793010015,29518.0,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
16,0.8619081616997929,0.670204125832476,2025-04-02 16:13:32.352574,2025-04-02 16:13:35.512038,0 days 00:00:03.159464,0.20734502451634051,3.1383450456393094,97.9631335855017,False,0.5545261208151362,1.9958538433539343,0.13410902852097728,0.03236020595185615,True,100000,0.9,IF,0.3255021572113037,0.7642375336256987,24756.0,0.670204125832476,36938.0,12182.0,,,0.463640958070755,0.8619081616997929,"[[ 9.96920025e-01  3.28427426e-03 -4.95303250e+01]
 [-3.28427426e-03  9.96920025e-01 -3.89857319e+01]]",34302.0,0.4636402726173401,0.8613916683677251,27392.0,COMPLETE,iou-multi-objective,TPESampler,cell-line-0028-bd18455
