number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
11,-0.004249898091196392,2025-04-02 16:13:19.976045,2025-04-02 16:13:21.733956,0 days 00:00:01.757911,0.10789142699330445,0.15714592843367126,51.34849842530557,True,0.41038292303562973,3.7777556927152434,0.1815132947852186,0.04985844582977499,True,100000,0.9,IF,-0.05478357298720804,-0.09306305146033175,170.0,0.0878099173553719,1936.0,1766.0,,,-0.1190263052644278,-0.04839883943856597,"[[ 1.70956587e-01 -1.45149112e-01  7.78570633e+02]
 [ 1.45149112e-01  1.70956587e-01 -1.49917686e+01]]",961.0,0.24346265867351427,0.04094332687099431,1145.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
12,0.0,2025-04-02 16:13:21.745552,2025-04-02 16:13:22.155454,0 days 00:00:00.409902,0.22879816549162246,0.38489954914396496,93.04006758191473,True,0.8714605901877177,4.018360384495573,0.1616240759128834,0.1266807513020847,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
13,0.16460112005187383,2025-04-02 16:13:22.164881,2025-04-02 16:13:24.392547,0 days 00:00:02.227666,0.18657005888603584,4.462794992449889,89.71303869242583,False,0.22793516254194168,2.1355389431312815,0.06360069499437278,0.022010384905535352,True,100000,0.9,IF,0.16326520317122314,0.18411573107818677,28788.0,0.427972526982428,67266.0,38478.0,,,0.025272756890673983,0.3846067438310874,"[[-1.08514812e+00 -3.01244656e-03  4.99955595e+02]
 [ 3.01244656e-03 -1.08514812e+00  5.82697313e+02]]",33548.0,0.1632652031712237,0.39927285923661826,62506.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
14,0.0,2025-04-02 16:13:24.404193,2025-04-02 16:13:24.677973,0 days 00:00:00.273780,0.8180147659224931,4.303652916281717,42.32368931172912,False,0.33761517140362796,4.714548519562596,0.04442156209414605,0.023973073466736564,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
15,0.408388186593224,2025-04-02 16:13:24.688221,2025-04-02 16:13:27.121431,0 days 00:00:02.433210,0.32320293202075523,2.5939531087168306,97.20642618937511,True,0.49724850589238545,1.5043915490838482,0.19248945898842226,0.05035645916507284,True,100000,0.9,IF,0.5642263079050508,0.5310449958706736,15535.0,0.5033861508052234,30861.0,15326.0,,,0.38435604028636805,0.8112821259384285,"[[-1.00084838e+00  4.98540955e-05  4.96658669e+02]
 [-4.98540955e-05 -1.00084838e+00  5.73758439e+02]]",16371.0,0.5642263079050511,0.8112821259384015,30025.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
16,0.5498188343060469,2025-04-02 16:13:27.135107,2025-04-02 16:13:31.464211,0 days 00:00:04.329104,0.2848404943774676,0.18443473677266398,6.096396373748946,True,0.23956189066697242,0.7244743604561155,0.05572929284732229,0.18165317719333074,True,100000,0.9,IF,0.47473390253211945,0.4931957847380451,30006.0,0.7183968588393028,41768.0,11762.0,,,0.46986456657908166,0.765341367436345,"[[-1.00241861e+00  9.80724717e-03  4.94894226e+02]
 [-9.80724717e-03 -1.00241861e+00  5.75609985e+02]]",39630.0,0.47473390253211845,0.7653413674363407,32144.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
17,0.0,2025-04-02 16:13:31.476385,2025-04-02 16:13:31.983371,0 days 00:00:00.506986,0.489452760277563,4.928252270553004,76.40034191754305,False,0.3677831327192532,3.1615291529678973,0.04752750879847994,0.14564326972237193,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
18,0.0,2025-04-02 16:13:31.996141,2025-04-02 16:13:32.310290,0 days 00:00:00.314149,0.6335297107608947,2.6788734203737925,32.75722643220185,False,0.5908929431882418,3.3878218092114123,0.03730370207997085,0.008155028310952784,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
19,0.0,2025-04-02 16:13:32.320905,2025-04-02 16:13:32.781660,0 days 00:00:00.460755,0.016587828927856152,2.560465291496405,18.262276471494154,False,0.9367299887367345,0.6876047207299663,0.1381875476204932,0.07734706926010748,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
20,0.5300634517075723,2025-04-02 16:13:32.793944,2025-04-02 16:13:35.808670,0 days 00:00:03.014726,0.3410663510502585,0.5673676062029454,26.536221143800404,True,0.5552008115994623,2.6482528917800323,0.13199680920683582,0.16344444004024317,True,100000,0.9,IF,0.43884053556661023,0.47957945358751375,20436.0,0.6981177194001298,29273.0,8837.0,,,0.34970459325368053,0.7592751723348877,"[[-1.00028600e+00  2.52729125e-03  4.95764714e+02]
 [-2.52729125e-03 -1.00028600e+00  5.73709039e+02]]",23332.0,0.43884053556661207,0.7592751723348448,26377.0,COMPLETE,iou-single-objective,RandomSampler,tissue-0009-9073de4
